Date,Price,Open,High,Low,Vol.,Change %
1/1/2013,1480.395238095238,1477.147619047619,1483.1142857142859,1472.7095238095237,nanK,0.002361904761904762
2/1/2013,1512.3052631578946,1511.4315789473685,1518.8684210526317,1504.6157894736843,nanK,0.0006105263157894737
3/1/2013,1550.83,1548.115,1554.395,1542.3899999999999,nanK,0.0017850000000000001
4/1/2013,1570.7045454545455,1569.4181818181817,1577.4954545454545,1561.0181818181818,nanK,0.00085
5/1/2013,1639.85,1637.7636363636366,1646.8363636363638,1631.35,nanK,0.0009636363636363637
6/1/2013,1618.77,1620.42,1629.605,1609.0149999999999,nanK,-0.00071
7/1/2013,1668.6772727272728,1665.85,1673.3545454545456,1661.4909090909093,nanK,0.0022090909090909092
8/1/2013,1670.1045454545456,1672.0363636363638,1677.4318181818182,1664.1181818181817,nanK,-0.0014181818181818182
9/1/2013,1687.175,1685.3650000000002,1692.8799999999999,1679.8200000000002,nanK,0.0014750000000000002
10/1/2013,1720.0391304347827,1716.9391304347826,1724.9652173913041,1710.1391304347824,nanK,0.0019304347826086957
11/1/2013,1783.545,1781.53,1788.56,1776.31,nanK,0.001395
12/1/2013,1807.7761904761905,1806.438095238095,1812.5285714285715,1800.5285714285715,nanK,0.0011238095238095237
1/1/2014,1822.3714285714286,1825.704761904762,1831.1285714285714,1814.8761904761905,nanK,-0.0017000000000000001
2/1/2014,1817.036842105263,1813.0263157894738,1824.1684210526314,1806.4263157894736,nanK,0.0022473684210526316
3/1/2014,1863.5047619047618,1863.5428571428572,1872.257142857143,1854.5761904761905,nanK,0.0003476190476190477
4/1/2014,1864.2619047619048,1864.5190476190478,1872.4,1854.7142857142858,nanK,0.0003333333333333331
5/1/2014,1889.7666666666667,1888.0238095238096,1894.6,1881.195238095238,nanK,0.0009952380952380953
6/1/2014,1947.095238095238,1945.142857142857,1950.0857142857144,1939.4809523809522,nanK,0.0009
7/1/2014,1973.1,1974.6136363636363,1980.0318181818182,1966.5727272727272,nanK,-0.0006636363636363635
8/1/2014,1961.5333333333333,1958.6666666666667,1966.6857142857143,1953.095238095238,nanK,0.0017809523809523807
9/1/2014,1993.2285714285715,1994.3857142857141,2000.9476190476191,1984.9095238095238,nanK,-0.0007285714285714288
10/1/2014,1937.2739130434784,1935.408695652174,1950.091304347826,1921.3347826086956,nanK,0.001060869565217391
11/1/2014,2044.5684210526317,2042.3052631578948,2047.842105263158,2037.2894736842106,nanK,0.0012736842105263158
12/1/2014,2054.259090909091,2054.7272727272725,2066.163636363636,2045.1545454545455,nanK,-0.0001454545454545454
1/1/2015,2028.175,2031.39,2043.61,2013.3650000000002,nanK,-0.001525
2/1/2015,2082.1894736842105,2076.6315789473683,2086.1684210526314,2069.6631578947367,nanK,0.002836842105263158
3/1/2015,2079.990909090909,2081.518181818182,2090.509090909091,2069.7909090909093,nanK,-0.0007681818181818179
4/1/2015,2094.8619047619045,2094.0238095238096,2102.7333333333336,2085.0285714285715,nanK,0.0004095238095238096
5/1/2015,2111.945,2111.105,2119.6150000000002,2103.1349999999998,nanK,0.0005500000000000001
6/1/2015,2099.2772727272727,2101.390909090909,2109.3954545454544,2092.068181818182,nanK,-0.0009409090909090909
7/1/2015,2094.140909090909,2092.9863636363634,2102.518181818182,2083.968181818182,nanK,0.0009045454545454546
8/1/2015,2039.8666666666666,2045.9476190476191,2058.504761904762,2024.9761904761904,nanK,-0.0029380952380952375
9/1/2015,1944.390476190476,1947.2666666666667,1962.4333333333332,1929.7142857142858,nanK,-0.0011809523809523815
10/1/2015,2024.8136363636365,2017.9454545454546,2030.5772727272727,2009.4863636363634,nanK,0.003654545454545455
11/1/2015,2080.6150000000002,2080.275,2089.545,2070.57,nanK,5.5000000000000104e-05
12/1/2015,2054.081818181818,2056.004545454545,2067.890909090909,2041.3363636363638,nanK,-0.0007545454545454544
1/1/2016,1918.6000000000001,1924.6421052631576,1939.5526315789473,1898.2736842105262,nanK,-0.002631578947368421
2/1/2016,1904.4150000000002,1904.81,1917.265,1887.275,nanK,-0.00014
3/1/2016,2021.95,2015.6227272727272,2027.0772727272727,2008.5636363636365,nanK,0.002936363636363636
4/1/2016,2075.5380952380956,2075.0666666666666,2083.4285714285716,2065.2666666666664,nanK,0.00014761904761904766
5/1/2016,2065.5476190476193,2064.095238095238,2073.3142857142857,2055.419047619048,nanK,0.0007523809523809526
6/1/2016,2083.8863636363635,2083.4863636363634,2093.840909090909,2072.072727272727,nanK,0.00010909090909090898
7/1/2016,2148.9049999999997,2145.645,2153.435,2139.56,nanK,0.001755
8/1/2016,2177.478260869565,2177.608695652174,2182.6739130434785,2171.0608695652177,nanK,-4.782608695652183e-05
9/1/2016,2157.7,2157.5761904761903,2166.8190476190475,2147.2761904761905,nanK,-9.523809523809548e-06
10/1/2016,2143.0238095238096,2146.1857142857143,2151.3190476190475,2137.057142857143,nanK,-0.0009285714285714288
11/1/2016,2164.980952380952,2161.842857142857,2171.842857142857,2154.519047619048,nanK,0.0016238095238095237
12/1/2016,2246.6285714285714,2246.1238095238095,2253.580952380952,2240.17619047619,nanK,0.0008666666666666667
1/1/2017,2275.12,2273.525,2279.37,2266.745,nanK,0.000895
2/1/2017,2329.9105263157894,2325.584210526316,2332.7842105263157,2321.205263157895,nanK,0.0019263157894736842
3/1/2017,2366.8260869565215,2366.8608695652174,2373.9434782608696,2359.0347826086954,nanK,4.347826086956646e-06
4/1/2017,2359.305263157895,2360.1526315789474,2367.184210526316,2352.321052631579,nanK,0.0004947368421052631
5/1/2017,2395.336363636364,2394.468181818182,2399.509090909091,2388.609090909091,nanK,0.0005318181818181818
6/1/2017,2433.990909090909,2434.690909090909,2440.3818181818183,2426.2863636363636,nanK,0.00022727272727272733
7/1/2017,2454.085,2453.04,2458.215,2447.2650000000003,nanK,0.0009599999999999999
8/1/2017,2456.221739130435,2456.7434782608693,2463.660869565217,2449.4826086956523,nanK,4.347826086956519e-05
9/1/2017,2492.84,2491.33,2496.2,2486.3,nanK,0.0009549999999999999
10/1/2017,2556.995454545455,2555.822727272727,2560.4227272727276,2551.004545454545,nanK,0.0010045454545454546
11/1/2017,2593.5904761904762,2590.3,2597.4285714285716,2585.014285714286,nanK,0.0013333333333333333
12/1/2017,2664.335,2666.07,2672.38,2658.46,nanK,0.0004900000000000002
1/1/2018,2789.8,2785.690476190476,2796.419047619048,2777.7285714285717,nanK,0.002619047619047619
2/1/2018,2705.1526315789474,2710.2684210526313,2736.115789473684,2681.7368421052633,nanK,-0.0019421052631578945
3/1/2018,2702.7714285714283,2707.8714285714286,2725.32380952381,2685.0761904761903,nanK,-0.001219047619047619
4/1/2018,2653.6238095238095,2657.290476190476,2673.057142857143,2636.6238095238095,nanK,0.00018571428571428574
5/1/2018,2701.490909090909,2697.981818181818,2710.031818181818,2686.4772727272725,nanK,0.001
6/1/2018,2754.3571428571427,2754.9619047619044,2764.3714285714286,2744.1857142857143,nanK,0.0002523809523809524
7/1/2018,2793.6380952380955,2789.385714285714,2800.6714285714284,2781.919047619048,nanK,0.0017000000000000001
8/1/2018,2857.817391304348,2854.5695652173918,2864.486956521739,2848.4434782608696,nanK,0.001317391304347826
9/1/2018,2901.5105263157893,2901.5736842105266,2910.0052631578947,2893.742105263158,nanK,0.00023684210526315788
10/1/2018,2785.4608695652173,2796.0782608695654,2812.878260869565,2766.0521739130436,nanK,-0.003030434782608695
11/1/2018,2723.2333333333336,2719.652380952381,2739.0238095238096,2702.0380952380956,nanK,0.0009095238095238095
12/1/2018,2567.2999999999997,2580.7105263157896,2603.915789473684,2539.4947368421053,nanK,-0.004894736842105263
1/1/2019,2607.390476190476,2597.9,2617.1809523809525,2585.0095238095237,nanK,0.003680952380952381
2/1/2019,2754.8684210526317,2750.1421052631576,2761.4210526315787,2742.452631578947,nanK,0.001563157894736842
3/1/2019,2803.985714285714,2803.595238095238,2815.7571428571428,2789.852380952381,nanK,0.0008714285714285714
4/1/2019,2903.795238095238,2900.8142857142857,2908.752380952381,2892.6428571428573,nanK,0.0018523809523809526
5/1/2019,2854.7090909090907,2855.3454545454547,2870.2363636363634,2838.754545454545,nanK,-0.003036363636363636
6/1/2019,2890.17,2887.685,2900.75,2878.56,nanK,0.003365
7/1/2019,2996.1136363636365,2995.7954545454545,3003.9045454545453,2984.15,nanK,0.0006045454545454545
8/1/2019,2897.509090909091,2901.2227272727273,2917.822727272727,2876.745454545455,nanK,-0.000736363636363637
9/1/2019,2982.16,2982.08,2992.09,2968.6150000000002,nanK,0.0008650000000000001
10/1/2019,2977.6782608695653,2976.9565217391305,2990.4173913043483,2964.947826086957,nanK,0.0009086956521739131
11/1/2019,3104.9,3101.555,3109.3900000000003,3094.335,nanK,0.0016799999999999999
12/1/2019,3176.747619047619,3175.2619047619046,3183.957142857143,3167.5619047619048,nanK,0.0013523809523809526
1/1/2020,3278.2,3276.809523809524,3289.7,3264.342857142857,nanK,-4.2857142857143093e-05
2/1/2020,3277.321052631579,3285.6,3302.2157894736843,3259.6315789473683,nanK,-0.004494736842105263
3/1/2020,2652.3954545454544,2653.2000000000003,2714.1045454545456,2578.6,nanK,-0.004386363636363636
4/1/2020,2761.985714285714,2758.609523809524,2789.5761904761903,2730.1,nanK,0.006028571428571428
5/1/2020,2919.6,2919.71,2942.115,2895.085,nanK,0.002305
6/1/2020,3104.6545454545453,3106.2681818181813,3130.5363636363636,3074.1772727272723,nanK,0.0010000000000000007
7/1/2020,3207.609090909091,3203.6,3223.781818181818,3182.5181818181813,nanK,0.002468181818181818
8/1/2020,3391.7095238095235,3384.890476190476,3399.8809523809523,3374.252380952381,nanK,0.0032380952380952383
9/1/2020,3365.528571428572,3373.9809523809527,3398.8190476190475,3336.7761904761905,nanK,-0.0017952380952380954
10/1/2020,3418.690909090909,3423.2,3445.027272727273,3397.309090909091,nanK,-0.001190909090909091
11/1/2020,3548.9849999999997,3543.4300000000003,3569.34,3526.215,nanK,0.00517
